profile,model,feature,epoch,train_loss,val_loss,val_accuracy,val_eer,lr
custom,cnn,lfcc,1,0.32253505099796703,0.2881223694404107,0.8974400257607471,0.19392926707819835,0.001
custom,cnn,lfcc,2,0.24241314270629763,0.3041639073164523,0.9098373852841732,0.14937431667210233,0.001
custom,cnn,lfcc,3,0.20693308987703918,0.19415987161714046,0.9157140557076155,0.15415106383697805,0.001
custom,cnn,lfcc,4,0.18691705610570802,0.17085208087401427,0.923160521655128,0.1074992719618277,0.001
custom,cnn,lfcc,5,0.1630636752285856,0.21043394129789886,0.902310417002093,0.09874190215955554,0.001
custom,cnn,lfcc,6,0.15468101845048748,0.3177708052572584,0.9039607148607309,0.09297279812811104,0.001
custom,cnn,lfcc,7,0.13719455844849654,0.7932324814174586,0.8976010304298825,0.14165975241632628,0.001
custom,cnn,lfcc,8,0.1348296121713963,0.43703320298318105,0.9033166961841893,0.12041107119340241,0.001
custom,cnn,lfcc,9,0.12130008368298612,0.17295864629651436,0.9239252938335212,0.06750241083433456,0.001
custom,cnn,lfcc,10,0.11711425766102247,0.11549401833210815,0.9535099017871518,0.07340606814887916,0.001
custom,cnn,lfcc,11,0.10581582511523467,0.43042739789625273,0.8102962485912092,0.0730528569795062,0.001
custom,cnn,lfcc,12,0.10688510762074033,0.09704186595500121,0.9602720978908388,0.058061044240499904,0.001
custom,cnn,lfcc,13,0.09536954457185416,0.15948651707742434,0.9446546449847045,0.07340606814887916,0.001
custom,cnn,lfcc,14,0.09611359142571382,0.2757990853118735,0.9172838512316858,0.0694927221530328,0.001
custom,cnn,lfcc,15,0.09347120733055381,0.17235161042591546,0.9238447914989535,0.05552128941333921,0.001
custom,cnn,lfcc,16,0.08464674874142082,0.09226164726186271,0.9601513443889873,0.045126819461741824,0.0005
custom,cnn,lfcc,17,0.07772433985644105,0.0787515573646208,0.9673160521655128,0.04552488172548143,0.0005
custom,cnn,lfcc,18,0.07753453470760673,0.21341024918115536,0.9240460473353728,0.04671906851670035,0.0005
custom,cnn,lfcc,19,0.07870436345056063,0.40793148519969413,0.9093946224440509,0.07019914449177866,0.0005
custom,cnn,lfcc,20,0.0802238024292709,0.14234640920599806,0.9417565609402673,0.059277656578902174,0.0005
custom,cnn,lfcc,21,0.07238917808019805,0.3225456146231559,0.8652793431009499,0.05299836254780126,0.0005
custom,cnn,lfcc,22,0.07088637225875899,0.27932386588040725,0.8822250845274513,0.04822161538292552,0.0005
custom,cnn,lfcc,23,0.07383651106821636,0.07050110436430147,0.9709386572210594,0.03807382645034501,0.0005
custom,cnn,lfcc,24,0.06616506943900441,0.08119078986424694,0.9673563033327967,0.042828148068037336,0.0005
custom,cnn,lfcc,25,0.06738711707793041,0.12136452184065473,0.9537111576235711,0.046696642969517005,0.0005
custom,cnn,lfcc,26,0.06740393431591556,0.3299385484837618,0.8736113347287071,0.05297593700061791,0.0005
custom,cnn,lfcc,27,0.06911754262574175,0.302293317134859,0.8744968604089519,0.056093158468985015,0.0005
custom,cnn,lfcc,28,0.06697137394260946,0.11954931520864864,0.9533086459507326,0.03889237652500762,0.0005
custom,cnn,lfcc,29,0.06361942963441283,0.09027648185152033,0.964820479793914,0.04897288881603814,0.0005
custom,cnn,lfcc,30,0.06460061259538381,0.4801683489672901,0.9095153759459025,0.0812327601405719,0.0005
custom,cnn,lfcc,31,0.058171998264988735,0.06496328430652445,0.97564804379327,0.03931286433593063,0.00025
custom,cnn,lfcc,32,0.05587429603880273,0.06151054985491363,0.9754467879568508,0.03683478856475933,0.00025
custom,cnn,lfcc,33,0.05701614257397381,0.06947904228810248,0.9725487039124134,0.037300127470049044,0.00025
custom,cnn,lfcc,34,0.05506479341721704,0.17470221908325506,0.9394622444050877,0.03964364995812018,0.00025
custom,cnn,lfcc,35,0.055468353810826564,0.07323685941959499,0.9713009177266141,0.03997443558030979,0.00025
custom,cnn,lfcc,36,0.050474160148889134,0.06484785471054556,0.9739574947673483,0.036173217320380174,0.00025
custom,cnn,lfcc,37,0.05356878838828457,0.08823403857667565,0.9650217356303333,0.03807382645034501,0.00025
custom,cnn,lfcc,38,0.052224557478218636,0.17635428527619906,0.9417163097729834,0.04203202354055807,0.00025
custom,cnn,lfcc,39,0.05144506297048572,0.05821053054938856,0.9770970858154886,0.035685452867907114,0.00025
custom,cnn,lfcc,40,0.054209844143349326,0.10622807782286704,0.9597890838834326,0.03763091309223865,0.00025
custom,cnn,lfcc,41,0.053139986721189636,0.11488888719925998,0.9559652229914668,0.038516739808451314,0.00025
custom,cnn,lfcc,42,0.049815495312213895,0.11439078253118232,0.9556029624859121,0.03809625199752836,0.00025
custom,cnn,lfcc,43,0.05010025550569485,0.12920024350460668,0.9533086459507326,0.03376241819075898,0.00025
custom,cnn,lfcc,44,0.04734627684098327,0.058093900309920295,0.9772580904846241,0.035287390604167454,0.00025
custom,cnn,lfcc,45,0.049692754117497503,0.0617283855090609,0.9756077926259862,0.035377092792900855,0.00025
custom,cnn,lfcc,46,0.04317354064836945,0.05426357193013125,0.9793109000161004,0.032170169135800404,0.000125
custom,cnn,lfcc,47,0.04668369541660985,0.0798481707027081,0.9703348897118016,0.03376241819075898,0.000125
custom,cnn,lfcc,48,0.04373786030109705,0.05206486457999903,0.9803171791981967,0.0317048302305107,0.000125
custom,cnn,lfcc,49,0.04144840425528422,0.06442902091428136,0.974561262276606,0.035332241698534154,0.000125
custom,cnn,lfcc,50,0.039410793428420084,0.15751392266789105,0.9481162453711157,0.03460339381260495,0.000125
